"sum","season","state_id","election_id","candidate_name"
"919","Autumn     ","Kerala",3013,"P O PETER"
"656","Winter     ","Kerala",2967,"ADV. SANGEETHA VISWANATHAN"
"740","Rabi       ","Goa",1473,"SHAKEEL JAMAL SHAIKH"
"921","Winter     ","Kerala",2967,"ADV. SANGEETHA VISWANATHAN"
"919","Autumn     ","Kerala",3107,"JOSHI VILLADOM"
"921","Winter     ","Kerala",2952,"JOHNSON K C"
"655","Summer     ","Kerala",2980,"JAYARAJ"
"656","Winter     ","Kerala",3038,"E.T.  MOHAMMED BASHEER"
"656","Winter     ","Kerala",2990,"RAJESWARI K.R"
"921","Winter     ","Kerala",2993,"BALAKRISHNAN N"
"921","Winter     ","Kerala",3004,"JOSE SARANATH"
"919","Autumn     ","Kerala",2922,"ADV.K.M SHAJAHAN"
"655","Summer     ","Kerala",3012,"VIJU CHERIAN"
"656","Winter     ","Kerala",3053,"K BIMALJI"
"656","Winter     ","Kerala",3003,"TWINKLE PRABHAKARAN"
"919","Autumn     ","Kerala",2936,"V  MURALEEDHARAN"
"919","Autumn     ","Kerala",2975,"C. RAGHUNATH"
"920","Summer     ","Kerala",3072,"JOY P.MATHEW"
"920","Summer     ","Kerala",3044,"ABDULSALAM S/O MUHAMMED HAJI"
"656","Winter     ","Kerala",3093,"M S SUBI"
"919","Autumn     ","Kerala",2920,"ARJUNAN"
"919","Autumn     ","Kerala",3068,"ANTO ANTONY"
"921","Winter     ","Kerala",2918,"SOBHA SURENDRAN"
"919","Autumn     ","Kerala",3020,"SANTHOSH PULICKAL"
"919","Autumn     ","Kerala",2955,"K. J. SHINE TEACHER"
"921","Winter     ","Kerala",3047,"KODIKUNNIL SURESH"
"920","Summer     ","Kerala",2970,"SAJI @ SHAJI"
"655","Summer     ","Kerala",3028,"ARAVINDAKSHAN NAIR M. K."
"919","Autumn     ","Kerala",3105,"M S JAFARGHAN"
"919","Autumn     ","Kerala",3017,"M M SCARIA"
"921","Winter     ","Kerala",3006,"P KRISHNAMMAL"
"655","Summer     ","Kerala",2959,"SANDEEP RAJENDRAPRASAD"
"921","Winter     ","Kerala",3128,"P RADHAKRISHNAN"
"920","Summer     ","Kerala",3063,"RAJESH K SON OF VELANKUTTY"
"740","Rabi       ","Goa",1482,"DR KALIDAS VAINGANKAR"
"654","Autumn     ","Kerala",3108,"NOTA"
"921","Winter     ","Kerala",3077,"DR. M.P ABDUSSAMAD SAMADANI"
"656","Winter     ","Kerala",3052,"SURESH NOORANAD"
"740","Rabi       ","Goa",1478,"PALLAVI SHRINIVAS DEMPO"
"919","Autumn     ","Kerala",3100,"ADV V S SUNILKUMAR"
"920","Summer     ","Kerala",2974,"M.V. JAYARAJAN"
"920","Summer     ","Kerala",3124,"SATHYAN K.P"
"919","Autumn     ","Kerala",3094,"CHALAI MOHANAN"
"919","Autumn     ","Kerala",2944,"K A UNNIKRISHNAN"
"919","Autumn     ","Kerala",2992,"ANEESH PAYYANNUR"
"919","Autumn     ","Kerala",3117,"SYLAJA P"
"919","Autumn     ","Kerala",2931,"HARI ARUMBIL"
"655","Summer     ","Kerala",3065,"SIDHEEK IRUPPASSERY"
"656","Winter     ","Kerala",2922,"ADV.K.M SHAJAHAN"
"654","Autumn     ","Kerala",3048,"ADV ARUN KUMAR C A"
"921","Winter     ","Kerala",3042,"P.C. NARAYANAN"
"677","Rabi       ","Meghalaya",4719,"VINCENT H. PALA"
"921","Winter     ","Kerala",3062,"N S K PURAM SASIKUMAR"
"655","Summer     ","Kerala",2941,"NOTA"
"677","Rabi       ","Meghalaya",4725,"SALENG A SANGMA"
"920","Summer     ","Kerala",2967,"ADV. SANGEETHA VISWANATHAN"
"654","Autumn     ","Kerala",3054,"MANTHARA VELAYUDHAN"
"921","Winter     ","Kerala",2919,"MURALEEDHARAN KONCHERILLAM"
"655","Summer     ","Kerala",3030,"T. RAGHAVAN S/O VELLANKUTTY"
"655","Summer     ","Kerala",2995,"NOTA"
"656","Winter     ","Kerala",2944,"K A UNNIKRISHNAN"
"654","Autumn     ","Kerala",2988,"M.L ASHWINI"
"921","Winter     ","Kerala",3034,"ABDUL KAREEM S/O MAHAMMOOD"
"656","Winter     ","Kerala",3005,"BRO NOUSHAD  SHERIFF J"
"656","Winter     ","Kerala",2921,"VAYALAR RAJEEVAN"
"740","Rabi       ","Goa",1474,"THOMAS AUGUSTINE FERNANDES"
"919","Autumn     ","Kerala",3088,"PANNIAN RAVINDRAN"
"919","Autumn     ","Kerala",2988,"M.L ASHWINI"
"920","Summer     ","Kerala",2979,"JOY JOHN PATTAR MADATHIL"
"654","Autumn     ","Kerala",2976,"RAMACHANDRAN BAVILEERI"
"654","Autumn     ","Kerala",3036,"ABDUL KAREEM K. S/O ASSAIN"
"655","Summer     ","Kerala",3026,"M. T. RAMESH"
"919","Autumn     ","Kerala",3014,"V P KOCHUMON"
"656","Winter     ","Kerala",2969,"JOMON JOHN"
"656","Winter     ","Kerala",3106,"PRATHAPAN"
"921","Winter     ","Kerala",2922,"ADV.K.M SHAJAHAN"
"655","Summer     ","Kerala",3103,"SUNILKUMAR SON OF PRABHAKARAN"
"921","Winter     ","Kerala",3025,"ELAMARAM KAREEM"
"920","Summer     ","Kerala",3103,"SUNILKUMAR SON OF PRABHAKARAN"
"655","Summer     ","Kerala",3124,"SATHYAN K.P"
"655","Summer     ","Kerala",3042,"P.C. NARAYANAN"
"655","Summer     ","Kerala",3071,"ADV.P.K.GEETHAKRISHNAN"
"920","Summer     ","Kerala",3098,"NOTA"
"656","Winter     ","Kerala",2953,"NOTA"
"656","Winter     ","Kerala",3046,"NOTA"
